nombre_de_actividad,nombre_de_cosecha,predio,empleado,tiempo_de_actividad,notas,fecha_planificada,fecha_completada,planned,numero_de_injertos,cantidad_agua_galones,cantidad_agua_tiempo,producto_semilla,cantidad_siembra,unidades_siembra,cantidad_cosecha_unidades,cantidad_cosecha_lbs,producto_utilizado,cantidad_utilizada,unidades_fertilizacion,id_agroptima
Injertar,Aguacate,,,1,Brenda y Yolanda hicieron 7 injertos de aguacate y 4 injertos de mango. Luego Brenda subio a ayudar a lavar y empacar panas.,,7/5/22,,7,,,,,,,,,,,2556191
Injertar,Mango,,,1,Brenda y Yolanda hicieron 7 injertos de aguacate y 4 injertos de mango. Luego Brenda subio a ayudar a lavar y empacar panas.,,7/5/22,,4,,,,,,,,,,,2556191
Injertar,Pana,,,1,Brenda buscó esquejes de pana y de aguacate. De pana solo encontró 5 por los predios cerca de la fábrica y de aguacate 9. Yolanda la ayudó con los injertos.,,6/30/22,,14,,,,,,,,,,,2545435
Injertar,Pana,,,1,Brenda y Yolanda hicieron 17 injertos de pana . Luego comenzo a limpiar las parchas.,,6/28/22,,17,,,,,,,,,,,2556150
Injertar,Pana,,,1,Brenda busco esquejes y luego hizo 23 injertos de pana con Yolanda. Luego subió a lavar y empacar panas con Natasha.,,6/21/22,,23,,,,,,,,,,,2533039
Injertar,Pana,,,1,"Brenda buscó esquejes en el predio Pana y Cacao, luego ella y Yolanda hicieron 16 injertos de pana.",,6/16/22,,16,,,,,,,,,,,2525292
Injertar,Pana,,,1,"Brenda busco injertos en el predio C, luego hizo 29 injertos con Yolanda.",,6/14/22,,29,,,,,,,,,,,2521539
Injertar,Pana,,,1,Brenda buscó esquejes de pana. Luego Brenda y Yolanda hicieron 11 injertos de pana.,,6/7/22,,11,,,,,,,,,,,2508403
Injertar,Pana,,,1,Brenda busco esquejes y luego ella y Yolanda injertarón 24 árboles de pana.,,6/2/22,,24,,,,,,,,,,,2506287
Injertar,Pana,,,1,"Yolanda re-inició los injertos de pana con la nueva bomba (hizo 16, Norma hizo algunos).",,5/31/22,,16,,,,,,,,,,,2545125
Injertar,Pana,,,1,Se buscarón esquejes de aguacate para injerto. Se injertarón 8 árboles de aguacate.,,4/21/22,,8,,,,,,,,,,,2479915
Injertar,Pana,,,1,Buscó esquejes de pana y injertó cerca de 15 árboles.,,4/7/22,,15,,,,,,,,,,,2479703
Injertar,Pana,,,1,Brenda busco esquejes y injerto cerca de 15 árboles de pana.,,4/5/22,,15,,,,,,,,,,,2479685
Injertar,Pana,,,1,Brenda busco esquejes para poder hacer injertos de pana. Hizo 15 injertos.,,3/30/22,,15,,,,,,,,,,,2479585
